"computer networks",
"osi",
"peer-to-peer",
"networks",
"physical layer",
"shennons theorem",
"nyquist theorem",
"guided media",
"unguided media",
"circuit switching",
"media switching",
"data link layer",
"hamming code",
"sliding window",
"aloha",
"csma",
"router",
"routing",
"distance vector routing",
"classful ip addressing",
"ip address",
"ip addressing",
"subnet",
"supernet",
